"tab_code","表章項目","area_code","地域2010","time_code","時間軸（調査年）","unit","value"
"104","人口密度","01000","北海道","1990000000","1990年","１km2当たり","72"
"104","人口密度","01000","北海道","1995000000","1995年","１km2当たり","73"
"104","人口密度","01000","北海道","2000000000","2000年","１km2当たり","72"
"104","人口密度","01000","北海道","2005000000","2005年","１km2当たり","72"
"104","人口密度","01000","北海道","2010000000","2010年","１km2当たり","70.2"
"104","人口密度","02000","青森県","1990000000","1990年","１km2当たり","154"
"104","人口密度","02000","青森県","1995000000","1995年","１km2当たり","154"
"104","人口密度","02000","青森県","2000000000","2000年","１km2当たり","154"
"104","人口密度","02000","青森県","2005000000","2005年","１km2当たり","150"
"104","人口密度","02000","青森県","2010000000","2010年","１km2当たり","142.4"
"104","人口密度","03000","岩手県","1990000000","1990年","１km2当たり","93"
"104","人口密度","03000","岩手県","1995000000","1995年","１km2当たり","93"
"104","人口密度","03000","岩手県","2000000000","2000年","１km2当たり","93"
"104","人口密度","03000","岩手県","2005000000","2005年","１km2当たり","91"
"104","人口密度","03000","岩手県","2010000000","2010年","１km2当たり","87.1"
"104","人口密度","04000","宮城県","1990000000","1990年","１km2当たり","309"
"104","人口密度","04000","宮城県","1995000000","1995年","１km2当たり","320"
"104","人口密度","04000","宮城県","2000000000","2000年","１km2当たり","325"
"104","人口密度","04000","宮城県","2005000000","2005年","１km2当たり","324"
"104","人口密度","04000","宮城県","2010000000","2010年","１km2当たり","322.3"
"104","人口密度","05000","秋田県","1990000000","1990年","１km2当たり","106"
"104","人口密度","05000","秋田県","1995000000","1995年","１km2当たり","105"
"104","人口密度","05000","秋田県","2000000000","2000年","１km2当たり","102"
"104","人口密度","05000","秋田県","2005000000","2005年","１km2当たり","99"
"104","人口密度","05000","秋田県","2010000000","2010年","１km2当たり","93.3"
"104","人口密度","06000","山形県","1990000000","1990年","１km2当たり","135"
"104","人口密度","06000","山形県","1995000000","1995年","１km2当たり","135"
"104","人口密度","06000","山形県","2000000000","2000年","１km2当たり","133"
"104","人口密度","06000","山形県","2005000000","2005年","１km2当たり","130"
"104","人口密度","06000","山形県","2010000000","2010年","１km2当たり","125.4"
"104","人口密度","07000","福島県","1990000000","1990年","１km2当たり","153"
"104","人口密度","07000","福島県","1995000000","1995年","１km2当たり","155"
"104","人口密度","07000","福島県","2000000000","2000年","１km2当たり","154"
"104","人口密度","07000","福島県","2005000000","2005年","１km2当たり","152"
"104","人口密度","07000","福島県","2010000000","2010年","１km2当たり","147.2"
"104","人口密度","08000","茨城県","1990000000","1990年","１km2当たり","467"
"104","人口密度","08000","茨城県","1995000000","1995年","１km2当たり","485"
"104","人口密度","08000","茨城県","2000000000","2000年","１km2当たり","490"
"104","人口密度","08000","茨城県","2005000000","2005年","１km2当たり","488"
"104","人口密度","08000","茨城県","2010000000","2010年","１km2当たり","487.2"
"104","人口密度","09000","栃木県","1990000000","1990年","１km2当たり","302"
"104","人口密度","09000","栃木県","1995000000","1995年","１km2当たり","310"
"104","人口密度","09000","栃木県","2000000000","2000年","１km2当たり","313"
"104","人口密度","09000","栃木県","2005000000","2005年","１km2当たり","315"
"104","人口密度","09000","栃木県","2010000000","2010年","１km2当たり","313.3"
"104","人口密度","10000","群馬県","1990000000","1990年","１km2当たり","309"
"104","人口密度","10000","群馬県","1995000000","1995年","１km2当たり","315"
