measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,Hokkaidō,Male,Age-standardized,Schizophrenia,Rate,1990,19.247545952235573,23.028211682127683,16.007454167897688
Incidence,Hokkaidō,Female,Age-standardized,Schizophrenia,Rate,1990,16.064295802783196,18.97686284913721,13.520231551737046
Incidence,Hokkaidō,Male,Age-standardized,Schizophrenia,Rate,1991,19.298883328747525,23.04346389450826,16.229097602000625
Incidence,Hokkaidō,Female,Age-standardized,Schizophrenia,Rate,1991,16.037446606336427,18.911367451028333,13.539959333276204
Incidence,Hokkaidō,Male,Age-standardized,Schizophrenia,Rate,1992,19.340259287658064,23.028277223261963,16.319517415838035
Incidence,Hokkaidō,Female,Age-standardized,Schizophrenia,Rate,1992,16.01461299335467,18.881152767235612,13.533660752550588
Incidence,Hokkaidō,Male,Age-standardized,Schizophrenia,Rate,1993,19.37150284774667,23.154326639013874,16.34764209916087
Incidence,Hokkaidō,Female,Age-standardized,Schizophrenia,Rate,1993,15.99648581963617,18.874559463755954,13.50002056675987
Incidence,Hokkaidō,Male,Age-standardized,Schizophrenia,Rate,1994,19.392443027792808,23.123521036172605,16.38044592695963
Incidence,Hokkaidō,Female,Age-standardized,Schizophrenia,Rate,1994,15.983755940979165,18.87616853167747,13.558225408040503
Incidence,Hokkaidō,Male,Age-standardized,Schizophrenia,Rate,1995,19.40290884657595,23.19137544572388,16.289900403593723
Incidence,Hokkaidō,Female,Age-standardized,Schizophrenia,Rate,1995,15.977114213181887,18.943930141187685,13.500909211524078
Incidence,Hokkaidō,Male,Age-standardized,Schizophrenia,Rate,1996,19.395325176847795,23.083246902439836,16.348930003091265
Incidence,Hokkaidō,Female,Age-standardized,Schizophrenia,Rate,1996,15.977571604541101,18.8432455707885,13.51014512437433
Incidence,Hokkaidō,Male,Age-standardized,Schizophrenia,Rate,1997,19.3697092729596,22.948002213736466,16.325199344047874
Incidence,Hokkaidō,Female,Age-standardized,Schizophrenia,Rate,1997,15.983853672741676,18.82312182512967,13.498228590135925
Incidence,Hokkaidō,Male,Age-standardized,Schizophrenia,Rate,1998,19.3372787260902,22.825566027669755,16.26154750092971
Incidence,Hokkaidō,Female,Age-standardized,Schizophrenia,Rate,1998,15.993223157664037,18.78348079599274,13.449102455984969
Incidence,Hokkaidō,Male,Age-standardized,Schizophrenia,Rate,1999,19.309251127418428,22.76384641748243,16.30139006382344
Incidence,Hokkaidō,Female,Age-standardized,Schizophrenia,Rate,1999,16.00294279918862,18.843587586723142,13.379183144870423
Incidence,Hokkaidō,Male,Age-standardized,Schizophrenia,Rate,2000,19.296844068123107,22.854640517012307,16.183373823882018
Incidence,Hokkaidō,Female,Age-standardized,Schizophrenia,Rate,2000,16.010275337195846,18.871879721448725,13.30782270718764
Incidence,Hokkaidō,Male,Age-standardized,Schizophrenia,Rate,2001,19.299846538620777,22.80369915043641,16.277408049400858
Incidence,Hokkaidō,Female,Age-standardized,Schizophrenia,Rate,2001,16.01546803824504,18.86936788379421,13.40117398835239
Incidence,Hokkaidō,Male,Age-standardized,Schizophrenia,Rate,2002,19.308791445092687,22.81146225974376,16.208462273910335
Incidence,Hokkaidō,Female,Age-standardized,Schizophrenia,Rate,2002,16.021267278921798,18.943677790769907,13.424480059633602
Incidence,Hokkaidō,Male,Age-standardized,Schizophrenia,Rate,2003,19.321012252364703,22.86898015569914,16.317866519104296
Incidence,Hokkaidō,Female,Age-standardized,Schizophrenia,Rate,2003,16.02868446414594,18.96988512179391,13.497468933402896
Incidence,Hokkaidō,Male,Age-standardized,Schizophrenia,Rate,2004,19.333842425262734,23.109043248247563,16.25116710144836
Incidence,Hokkaidō,Female,Age-standardized,Schizophrenia,Rate,2004,16.038730998837288,19.08255112469264,13.459192691969086
Incidence,Hokkaidō,Male,Age-standardized,Schizophrenia,Rate,2005,19.344615428612645,22.99626728549461,16.189147246346234
Incidence,Hokkaidō,Female,Age-standardized,Schizophrenia,Rate,2005,16.052418287915653,19.127050820544024,13.427408043423947
Incidence,Hokkaidō,Male,Age-standardized,Schizophrenia,Rate,2006,19.357986522250794,23.065349790283097,16.31785987877461
Incidence,Hokkaidō,Female,Age-standardized,Schizophrenia,Rate,2006,16.09921045570653,19.271921480856683,13.519751784932891
Incidence,Hokkaidō,Male,Age-standardized,Schizophrenia,Rate,2007,19.377236502086646,23.011221313260354,16.357876010621787
