measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,Japan,Male,Age-standardized,Schizophrenia,Rate,1990,19.29186032307344,22.771784462626368,16.168810210775952
Incidence,Japan,Female,Age-standardized,Schizophrenia,Rate,1990,16.08347870940337,18.844688905104707,13.639106785480486
Incidence,Japan,Male,Age-standardized,Schizophrenia,Rate,1991,19.313849566156588,22.80754828604156,16.223283497800647
Incidence,Japan,Female,Age-standardized,Schizophrenia,Rate,1991,16.048761487990607,18.831500909443214,13.584257270887742
Incidence,Japan,Male,Age-standardized,Schizophrenia,Rate,1992,19.329629965799377,22.82254743677857,16.26534034935617
Incidence,Japan,Female,Age-standardized,Schizophrenia,Rate,1992,16.018675262341358,18.79744136557011,13.534589018891548
Incidence,Japan,Male,Age-standardized,Schizophrenia,Rate,1993,19.33951579029339,22.83420393158435,16.28591738374612
Incidence,Japan,Female,Age-standardized,Schizophrenia,Rate,1993,15.994516051967507,18.769099099336287,13.511415711160122
Incidence,Japan,Male,Age-standardized,Schizophrenia,Rate,1994,19.344123371749905,22.82395701049624,16.278901657826104
Incidence,Japan,Female,Age-standardized,Schizophrenia,Rate,1994,15.977648031354917,18.747859999448412,13.464514282071892
Incidence,Japan,Male,Age-standardized,Schizophrenia,Rate,1995,19.343983993358453,22.84629289590187,16.276440890595467
Incidence,Japan,Female,Age-standardized,Schizophrenia,Rate,1995,15.969456984438299,18.73493907054299,13.454393746915782
Incidence,Japan,Male,Age-standardized,Schizophrenia,Rate,1996,19.333850882374165,22.81505674678801,16.25877737170429
Incidence,Japan,Female,Age-standardized,Schizophrenia,Rate,1996,15.968960233494679,18.714243737803045,13.459737532118428
Incidence,Japan,Male,Age-standardized,Schizophrenia,Rate,1997,19.312891884949863,22.7503832819792,16.20430186832101
Incidence,Japan,Female,Age-standardized,Schizophrenia,Rate,1997,15.972828505335837,18.699705626152575,13.479830632654922
Incidence,Japan,Male,Age-standardized,Schizophrenia,Rate,1998,19.288421935839782,22.701144978063347,16.180915813209154
Incidence,Japan,Female,Age-standardized,Schizophrenia,Rate,1998,15.978768695978612,18.69601489311444,13.448992705910394
Incidence,Japan,Male,Age-standardized,Schizophrenia,Rate,1999,19.26759535824633,22.704413886130553,16.12916884843558
Incidence,Japan,Female,Age-standardized,Schizophrenia,Rate,1999,15.984597745826495,18.7193389804819,13.472754240567708
Incidence,Japan,Male,Age-standardized,Schizophrenia,Rate,2000,19.257446662247656,22.721281568489786,16.14433447458493
Incidence,Japan,Female,Age-standardized,Schizophrenia,Rate,2000,15.988087810099504,18.740815516369967,13.470439590441556
Incidence,Japan,Male,Age-standardized,Schizophrenia,Rate,2001,19.25793202035623,22.690081373908505,16.13997095370327
Incidence,Japan,Female,Age-standardized,Schizophrenia,Rate,2001,15.989913254949059,18.727859195486438,13.475279512573135
Incidence,Japan,Male,Age-standardized,Schizophrenia,Rate,2002,19.26301282129633,22.677100521463366,16.164067847375573
Incidence,Japan,Female,Age-standardized,Schizophrenia,Rate,2002,15.992618646255526,18.755963402306147,13.480062355364575
Incidence,Japan,Male,Age-standardized,Schizophrenia,Rate,2003,19.27094124961318,22.698218186516502,16.18622780322047
Incidence,Japan,Female,Age-standardized,Schizophrenia,Rate,2003,15.996959297747587,18.810463306217063,13.48665205064369
Incidence,Japan,Male,Age-standardized,Schizophrenia,Rate,2004,19.280032240316082,22.724694579951866,16.231424807827374
Incidence,Japan,Female,Age-standardized,Schizophrenia,Rate,2004,16.003759186604427,18.846210231296098,13.496290654720196
Incidence,Japan,Male,Age-standardized,Schizophrenia,Rate,2005,19.288564940759052,22.746548542472105,16.259222462742958
Incidence,Japan,Female,Age-standardized,Schizophrenia,Rate,2005,16.013891545241297,18.874782991002657,13.508759788716416
Incidence,Japan,Male,Age-standardized,Schizophrenia,Rate,2006,19.305243244473886,22.777534979644383,16.27417958004985
Incidence,Japan,Female,Age-standardized,Schizophrenia,Rate,2006,16.06076602340899,18.960906322897138,13.538175460917133
Incidence,Japan,Male,Age-standardized,Schizophrenia,Rate,2007,19.334342739212726,22.824401386077415,16.27685433173302
Incidence,Japan,Female,Age-standardized,Schizophrenia,Rate,2007,16.157563471834024,19.050947639088545,13.654332203309432
Incidence,Japan,Male,Age-standardized,Schizophrenia,Rate,2008,19.36761078891908,22.850035600510385,16.287514593533526
Incidence,Japan,Female,Age-standardized,Schizophrenia,Rate,2008,16.27489653329905,19.16146499056679,13.76391147812337
Incidence,Japan,Male,Age-standardized,Schizophrenia,Rate,2009,19.396932256292715,22.85256885039186,16.29289382665366
Incidence,Japan,Female,Age-standardized,Schizophrenia,Rate,2009,16.383339726130433,19.252378712761804,13.850677771810252
Incidence,Japan,Male,Age-standardized,Schizophrenia,Rate,2010,19.414313093047475,22.904918928703026,16.30417087042124
Incidence,Japan,Female,Age-standardized,Schizophrenia,Rate,2010,16.453451030956455,19.288779892804712,13.887866284594754
Incidence,Japan,Male,Age-standardized,Schizophrenia,Rate,2011,19.42331899354499,22.922571594358082,16.339580447347064
Incidence,Japan,Female,Age-standardized,Schizophrenia,Rate,2011,16.493054562794978,19.318853709320024,13.903514071749557
Incidence,Japan,Male,Age-standardized,Schizophrenia,Rate,2012,19.428523293100074,22.94290498569863,16.344667505412506
Incidence,Japan,Female,Age-standardized,Schizophrenia,Rate,2012,16.529434577929695,19.342573956891435,13.952556137820864
Incidence,Japan,Male,Age-standardized,Schizophrenia,Rate,2013,19.423580115845265,22.893205886001628,16.321440309614545
Incidence,Japan,Female,Age-standardized,Schizophrenia,Rate,2013,16.562375144999127,19.36068945290187,14.003987009212187
Incidence,Japan,Male,Age-standardized,Schizophrenia,Rate,2014,19.402112048753228,22.818189866955887,16.328354754737155
Incidence,Japan,Female,Age-standardized,Schizophrenia,Rate,2014,16.59168412462023,19.375944982701796,14.03868747834208
Incidence,Japan,Male,Age-standardized,Schizophrenia,Rate,2015,19.357705562313477,22.79992793025043,16.31417451503644
Incidence,Japan,Female,Age-standardized,Schizophrenia,Rate,2015,16.617184487066336,19.434787841467426,14.013764663347116
Incidence,Japan,Male,Age-standardized,Schizophrenia,Rate,2016,19.05123450100514,22.431411078336243,16.043567384096324
Incidence,Japan,Female,Age-standardized,Schizophrenia,Rate,2016,16.610838383413345,19.520355671189705,14.069179022757945
Incidence,Japan,Male,Age-standardized,Schizophrenia,Rate,2017,18.779178581248598,22.079182246951426,15.79890479265858
Incidence,Japan,Female,Age-standardized,Schizophrenia,Rate,2017,16.588418818954175,19.541982311868356,14.025973384486498
Incidence,Japan,Male,Age-standardized,Schizophrenia,Rate,2018,18.866584935125083,22.272335755942013,15.857164297964355
Incidence,Japan,Female,Age-standardized,Schizophrenia,Rate,2018,16.373208364843933,19.224519554911165,13.828403979112204
Incidence,Japan,Male,Age-standardized,Schizophrenia,Rate,2019,19.14850509881431,22.677827527165867,16.134181808035983
Incidence,Japan,Female,Age-standardized,Schizophrenia,Rate,2019,15.909122558893573,18.756155913340173,13.417856817083536
