measure,location,sex,age,cause,metric,year,val,upper,lower
Incidence,Japan,Female,15 to 39,Parkinson's disease,Number,1995,99.01795264304668,155.6473231517036,58.63958430716879
Incidence,Japan,Male,15 to 39,Parkinson's disease,Rate,1995,0.46629063312855906,0.7332503239278467,0.2678071263906762
Incidence,Japan,Female,15 to 39,Parkinson's disease,Rate,1995,0.4561215392779386,0.716982069669476,0.270120485658037
Incidence,Japan,Male,15 to 39,Idiopathic epilepsy,Number,1995,7909.686143975152,11908.776684147793,4658.431529816644
Incidence,Japan,Female,15 to 39,Idiopathic epilepsy,Number,1995,6172.398520649235,9502.401314665523,3543.7989264590215
Incidence,Japan,Male,15 to 39,Idiopathic epilepsy,Rate,1995,35.22844241918048,53.03973458162254,20.747888591868254
Incidence,Japan,Female,15 to 39,Idiopathic epilepsy,Rate,1995,28.432863325548702,43.7723644934029,16.324342991164677
Incidence,Japan,Male,15 to 39,Schizophrenia,Number,1995,9726.429761561676,12108.26363160769,7761.734726615971
Incidence,Japan,Female,15 to 39,Schizophrenia,Number,1995,7298.399736485948,9187.825471208032,5795.587942244307
Incidence,Japan,Male,15 to 39,Schizophrenia,Rate,1995,43.31991997689753,53.92821666726408,34.569491116638076
Incidence,Japan,Female,15 to 39,Schizophrenia,Rate,1995,33.619734939100866,42.32328567377975,26.69710312802319
Incidence,Japan,Male,15 to 39,Alcohol use disorders,Number,1995,148028.22981311858,189018.34772799528,113090.404151893
Incidence,Japan,Female,15 to 39,Alcohol use disorders,Number,1995,77530.68895974757,99999.99783254946,58890.92653909406
Incidence,Japan,Male,15 to 39,Alcohol use disorders,Rate,1995,659.2934125909414,841.856662565097,503.68607784285393
Incidence,Japan,Female,15 to 39,Alcohol use disorders,Rate,1995,357.1414702653161,460.645284230445,271.27828182177495
Incidence,Japan,Male,15 to 39,Major depressive disorder,Number,1995,492333.25311033207,592574.102854366,406632.28351407836
Incidence,Japan,Female,15 to 39,Major depressive disorder,Number,1995,694759.0705328989,836100.3422449005,582747.5739599062
Incidence,Japan,Male,15 to 39,Major depressive disorder,Rate,1995,2192.7714124859754,2639.2276863480233,1811.0733757074577
Incidence,Japan,Female,15 to 39,Major depressive disorder,Rate,1995,3200.374964539614,3851.456881464167,2684.399276596659
Incidence,Japan,Male,15 to 39,Dysthymia,Number,1995,29958.5435130782,38731.026353577196,21775.77297891633
Incidence,Japan,Female,15 to 39,Dysthymia,Number,1995,37375.7179548803,48694.82248327911,27520.909659961275
Incidence,Japan,Male,15 to 39,Dysthymia,Rate,1995,133.43043022217591,172.50162735876089,96.98571480048223
Incidence,Japan,Female,15 to 39,Dysthymia,Rate,1995,172.16948593811625,224.3104082954288,126.77377527369148
Incidence,Japan,Female,15 to 39,Parkinson's disease,Number,1991,91.84378504712826,142.39789336700852,52.54236909399064
Incidence,Japan,Male,15 to 39,Parkinson's disease,Rate,1991,0.4370941363934709,0.6904176025832015,0.24802204898132837
Incidence,Japan,Female,15 to 39,Parkinson's disease,Rate,1991,0.41812096765516926,0.6482697216378812,0.23920035740253226
Incidence,Japan,Male,15 to 39,Idiopathic epilepsy,Number,1991,8106.206905353111,11993.721045558437,4880.112131762795
Incidence,Japan,Female,15 to 39,Idiopathic epilepsy,Number,1991,6338.629520266679,9463.406973534697,3799.040709030682
Incidence,Japan,Male,15 to 39,Idiopathic epilepsy,Rate,1991,35.783485833093316,52.94426260405431,21.542433516657685
Incidence,Japan,Female,15 to 39,Idiopathic epilepsy,Rate,1991,28.856758323511567,43.082380359853495,17.295221191136623
Incidence,Japan,Male,15 to 39,Alzheimer's disease and other dementias,Number,1991,0.0,0.0,0.0
Incidence,Japan,Female,15 to 39,Alzheimer's disease and other dementias,Number,1991,0.0,0.0,0.0
Incidence,Japan,Male,15 to 39,Alzheimer's disease and other dementias,Rate,1991,0.0,0.0,0.0
Incidence,Japan,Female,15 to 39,Alzheimer's disease and other dementias,Rate,1991,0.0,0.0,0.0
Incidence,Japan,Male,15 to 39,Parkinson's disease,Number,1991,99.01705840645924,156.40365401353301,56.18563980910162
Incidence,Japan,Female,15 to 39,Parkinson's disease,Number,1992,93.86606966319798,145.01928118381798,54.484562160179564
Incidence,Japan,Male,15 to 39,Parkinson's disease,Rate,1992,0.44353668314640066,0.696976048029763,0.2510332197639081
Incidence,Japan,Female,15 to 39,Parkinson's disease,Rate,1992,0.4292122537757122,0.6631155724446426,0.2491362619598663
Incidence,Japan,Male,15 to 39,Idiopathic epilepsy,Number,1992,8044.279512751112,11925.90967224433,4859.319088861898
Incidence,Japan,Female,15 to 39,Idiopathic epilepsy,Number,1992,6279.904225692953,9359.829793959463,3726.677659553808
Incidence,Japan,Male,15 to 39,Idiopathic epilepsy,Rate,1992,35.63448867992481,52.829304667964855,21.525775029288116
Incidence,Japan,Female,15 to 39,Idiopathic epilepsy,Rate,1992,28.715507700244952,42.79878400402954,17.040616732883354
Incidence,Japan,Male,15 to 39,Bipolar disorder,Number,1996,14210.004175952594,18043.279591354374,10954.192303584272
Incidence,Japan,Female,15 to 39,Bipolar disorder,Number,1996,14568.199509644848,18450.272422562084,11017.780838708513
Incidence,Japan,Male,15 to 39,Bipolar disorder,Rate,1996,63.436377741455544,80.54890664908064,48.901764715782235
Incidence,Japan,Female,15 to 39,Bipolar disorder,Rate,1996,67.29117515051621,85.22264623980504,50.89163006703017
