,調査年,地域,F110801_非労働力人口（男）【人】,F110802_非労働力人口（女）【人】
0,1975,三重県,98160.0,344506.0
1,1975,京都府,167241.0,521993.0
2,1975,佐賀県,59552.0,168288.0
3,1975,兵庫県,278319.0,1168049.0
4,1975,北海道,315629.0,1193003.0
5,1975,千葉県,231373.0,895890.0
6,1975,和歌山県,67043.0,252779.0
7,1975,埼玉県,240664.0,1022918.0
8,1975,大分県,80896.0,257107.0
9,1975,大阪府,440868.0,1886029.0
10,1975,奈良県,68049.0,274097.0
11,1975,宮城県,136333.0,416205.0
12,1975,宮崎県,72988.0,210529.0
13,1975,富山県,60197.0,194738.0
14,1975,山口県,92404.0,327625.0
15,1975,山形県,83488.0,234650.0
16,1975,山梨県,50225.0,157183.0
17,1975,岐阜県,104717.0,346204.0
18,1975,岡山県,108737.0,359599.0
19,1975,岩手県,84959.0,247627.0
20,1975,島根県,50722.0,138421.0
21,1975,広島県,149001.0,537554.0
22,1975,徳島県,56510.0,165227.0
23,1975,愛媛県,95243.0,319542.0
24,1975,愛知県,306855.0,1148504.0
25,1975,新潟県,144559.0,427295.0
26,1975,東京都,802875.0,2525510.0
27,1975,栃木県,101061.0,325481.0
28,1975,沖縄県,71084.0,230322.0
29,1975,滋賀県,56981.0,194420.0
30,1975,熊本県,136443.0,362389.0
31,1975,石川県,68508.0,195625.0
32,1975,神奈川県,342364.0,1451153.0
33,1975,福井県,46471.0,128497.0
34,1975,福岡県,315230.0,980963.0
35,1975,福島県,130935.0,363169.0
36,1975,秋田県,79262.0,251288.0
37,1975,群馬県,98063.0,341024.0
38,1975,茨城県,141786.0,459509.0
39,1975,長崎県,112143.0,353428.0
40,1975,長野県,112151.0,353895.0
41,1975,青森県,89411.0,290881.0
42,1975,静岡県,170665.0,635176.0
43,1975,香川県,59944.0,196160.0
44,1975,高知県,56674.0,162303.0
45,1975,鳥取県,38634.0,99399.0
46,1975,鹿児島県,130665.0,360835.0
47,1976,三重県,,
48,1976,京都府,,
49,1976,佐賀県,,
50,1976,兵庫県,,
51,1976,北海道,,
52,1976,千葉県,,
53,1976,和歌山県,,
54,1976,埼玉県,,
55,1976,大分県,,
56,1976,大阪府,,
